"Season","Date","Home","Away","HG","AG","Res","HorA","Resultado","Ganados","Perdidos","Empatados","Rival"
"2017/2018","01/10/2017","Toluca","Club America",1,2,"A","A","G",1,0,0,"Toluca"
"2017/2018","14/10/2017","Cruz Azul","Club America",1,3,"A","A","G",1,0,0,"Cruz Azul"
"2017/2018","19/10/2017","Club America","Guadalajara Chivas",2,1,"H","H","G",1,0,0,"Guadalajara Chivas"
"2017/2018","22/10/2017","Club America","Necaxa",0,1,"A","H","P",0,1,0,"Necaxa"
"2017/2018","29/10/2017","Monterrey","Club America",2,0,"H","A","P",0,1,0,"Monterrey"
"2017/2018","05/11/2017","Club America","Puebla",1,1,"D","H","E",0,0,1,"Puebla"
"2017/2018","20/11/2017","Santos Laguna","Club America",0,1,"A","A","G",1,0,0,"Santos Laguna"
"2017/2018","24/11/2017","Cruz Azul","Club America",0,0,"D","A","E",0,0,1,"Cruz Azul"
"2017/2018","27/11/2017","Club America","Cruz Azul",0,0,"D","H","E",0,0,1,"Cruz Azul"
"2017/2018","30/11/2017","Club America","U.A.N.L.- Tigres",0,1,"A","H","P",0,1,0,"U.A.N.L.- Tigres"
"2017/2018","03/12/2017","U.A.N.L.- Tigres","Club America",3,0,"H","A","P",0,1,0,"U.A.N.L.- Tigres"
"2017/2018","08/01/2018","Queretaro","Club America",0,1,"A","A","G",1,0,0,"Queretaro"
"2017/2018","13/01/2018","Club America","Pachuca",2,2,"D","H","E",0,0,1,"Pachuca"
"2017/2018","21/01/2018","U.N.A.M.- Pumas","Club America",0,0,"D","A","E",0,0,1,"U.N.A.M.- Pumas"
"2017/2018","28/01/2018","Club America","Atlas",1,0,"H","H","G",1,0,0,"Atlas"
"2017/2018","04/02/2018","Club America","Lobos BUAP",5,1,"H","H","G",1,0,0,"Lobos BUAP"
"2017/2018","11/02/2018","U.A.N.L.- Tigres","Club America",1,1,"D","A","E",0,0,1,"U.A.N.L.- Tigres"
"2017/2018","14/02/2018","Club America","Monarcas",4,1,"H","H","G",1,0,0,"Monarcas"
"2017/2018","19/02/2018","Veracruz","Club America",1,1,"D","A","E",0,0,1,"Veracruz"
"2017/2018","25/02/2018","Club America","Club Tijuana",0,0,"D","H","E",0,0,1,"Club Tijuana"
"2017/2018","04/03/2018","Guadalajara Chivas","Club America",1,1,"D","A","E",0,0,1,"Guadalajara Chivas"
"2017/2018","11/03/2018","Club America","Club Leon",2,0,"H","H","G",1,0,0,"Club Leon"
"2017/2018","18/03/2018","Club America","Toluca",1,2,"A","H","P",0,1,0,"Toluca"
"2017/2018","01/04/2018","Club America","Cruz Azul",2,1,"H","H","G",1,0,0,"Cruz Azul"
"2017/2018","08/04/2018","Necaxa","Club America",1,1,"D","A","E",0,0,1,"Necaxa"
"2017/2018","15/04/2018","Club America","Monterrey",0,0,"D","H","E",0,0,1,"Monterrey"
"2017/2018","21/04/2018","Puebla","Club America",3,1,"H","A","P",0,1,0,"Puebla"
"2017/2018","29/04/2018","Club America","Santos Laguna",1,0,"H","H","G",1,0,0,"Santos Laguna"
"2017/2018","03/05/2018","U.N.A.M.- Pumas","Club America",1,4,"A","A","G",1,0,0,"U.N.A.M.- Pumas"
"2017/2018","06/05/2018","Club America","U.N.A.M.- Pumas",2,1,"H","H","G",1,0,0,"U.N.A.M.- Pumas"
"2017/2018","11/05/2018","Santos Laguna","Club America",4,1,"H","A","P",0,1,0,"Santos Laguna"
"2017/2018","14/05/2018","Club America","Santos Laguna",2,2,"D","H","E",0,0,1,"Santos Laguna"
"2018/2019","23/07/2018","Necaxa","Club America",2,1,"H","A","P",0,1,0,"Necaxa"
"2018/2019","29/07/2018","Club America","Atlas",3,0,"H","H","G",1,0,0,"Atlas"
"2018/2019","05/08/2018","Pachuca","Club America",1,3,"A","A","G",1,0,0,"Pachuca"
"2018/2019","12/08/2018","Club America","Monterrey",3,0,"H","H","G",1,0,0,"Monterrey"
"2018/2019","19/08/2018","Queretaro","Club America",1,1,"D","A","E",0,0,1,"Queretaro"
"2018/2019","23/08/2018","Club Leon","Club America",2,0,"H","A","P",0,1,0,"Club Leon"
"2018/2019","26/08/2018","Club America","U.N.A.M.- Pumas",2,2,"D","H","E",0,0,1,"U.N.A.M.- Pumas"
"2018/2019","02/09/2018","Lobos BUAP","Club America",0,2,"A","A","G",1,0,0,"Lobos BUAP"
"2018/2019","16/09/2018","Club America","Monarcas",2,1,"H","H","G",1,0,0,"Monarcas"
"2018/2019","22/09/2018","Puebla","Club America",2,3,"A","A","G",1,0,0,"Puebla"
"2018/2019","01/10/2018","Club America","Guadalajara Chivas",1,1,"D","H","E",0,0,1,"Guadalajara Chivas"
"2018/2019","07/10/2018","U.A.N.L.- Tigres","Club America",2,3,"A","A","G",1,0,0,"U.A.N.L.- Tigres"
"2018/2019","21/10/2018","Club America","Club Tijuana",3,0,"H","H","G",1,0,0,"Club Tijuana"
"2018/2019","28/10/2018","Cruz Azul","Club America",0,0,"D","A","E",0,0,1,"Cruz Azul"
"2018/2019","04/11/2018","Club America","Toluca",1,1,"D","H","E",0,0,1,"Toluca"
"2018/2019","12/11/2018","Santos Laguna","Club America",1,1,"D","A","E",0,0,1,"Santos Laguna"
"2018/2019","25/11/2018","Club America","Veracruz",4,1,"H","H","G",1,0,0,"Veracruz"
"2018/2019","30/11/2018","Toluca","Club America",2,2,"D","A","E",0,0,1,"Toluca"
"2018/2019","03/12/2018","Club America","Toluca",3,2,"H","H","G",1,0,0,"Toluca"
"2018/2019","07/12/2018","U.N.A.M.- Pumas","Club America",1,1,"D","A","E",0,0,1,"U.N.A.M.- Pumas"
"2018/2019","10/12/2018","Club America","U.N.A.M.- Pumas",6,1,"H","H","G",1,0,0,"U.N.A.M.- Pumas"
"2018/2019","14/12/2018","Club America","Cruz Azul",0,0,"D","H","E",0,0,1,"Cruz Azul"
"2018/2019","17/12/2018","Cruz Azul","Club America",0,2,"A","A","G",1,0,0,"Cruz Azul"
"2018/2019","12/01/2019","Atlas","Club America",1,2,"A","A","G",1,0,0,"Atlas"
"2018/2019","20/01/2019","Club America","Pachuca",3,0,"H","H","G",1,0,0,"Pachuca"
"2018/2019","26/01/2019","Monterrey","Club America",3,2,"H","A","P",0,1,0,"Monterrey"
"2018/2019","02/02/2019","Club America","Queretaro",2,0,"H","H","G",1,0,0,"Queretaro"
"2018/2019","10/02/2019","Club America","Club Leon",0,3,"A","H","P",0,1,0,"Club Leon"
"2018/2019","17/02/2019","U.N.A.M.- Pumas","Club America",1,0,"H","A","P",0,1,0,"U.N.A.M.- Pumas"
"2018/2019","24/02/2019","Club America","Lobos BUAP",3,0,"H","H","G",1,0,0,"Lobos BUAP"
"2018/2019","02/03/2019","Monarcas","Club America",2,2,"D","A","E",0,0,1,"Monarcas"
"2018/2019","06/03/2019","Club America","Necaxa",1,3,"A","H","P",0,1,0,"Necaxa"
"2018/2019","10/03/2019","Club America","Puebla",1,0,"H","H","G",1,0,0,"Puebla"
"2018/2019","17/03/2019","Guadalajara Chivas","Club America",0,2,"A","A","G",1,0,0,"Guadalajara Chivas"
"2018/2019","31/03/2019","Club America","U.A.N.L.- Tigres",3,0,"H","H","G",1,0,0,"U.A.N.L.- Tigres"
"2018/2019","07/04/2019","Club Tijuana","Club America",3,2,"H","A","P",0,1,0,"Club Tijuana"
"2018/2019","15/04/2019","Club America","Cruz Azul",0,0,"D","H","E",0,0,1,"Cruz Azul"
"2018/2019","21/04/2019","Toluca","Club America",3,2,"H","A","P",0,1,0,"Toluca"
"2018/2019","28/04/2019","Club America","Santos Laguna",1,0,"H","H","G",1,0,0,"Santos Laguna"
"2018/2019","04/05/2019","Veracruz","Club America",0,2,"A","A","G",1,0,0,"Veracruz"
"2018/2019","10/05/2019","Club America","Cruz Azul",3,1,"H","H","G",1,0,0,"Cruz Azul"
"2018/2019","13/05/2019","Cruz Azul","Club America",1,0,"H","A","P",0,1,0,"Cruz Azul"
"2018/2019","17/05/2019","Club America","Club Leon",0,1,"A","H","P",0,1,0,"Club Leon"
"2018/2019","20/05/2019","Club Leon","Club America",0,1,"A","A","G",1,0,0,"Club Leon"
"2019/2020","21/07/2019","Club America","Monterrey",4,2,"H","H","G",1,0,0,"Monterrey"
"2019/2020","28/07/2019","Club Leon","Club America",0,0,"D","A","E",0,0,1,"Club Leon"
"2019/2020","04/08/2019","Club America","Club Tijuana",3,1,"H","H","G",1,0,0,"Club Tijuana"
"2019/2020","11/08/2019","Toluca","Club America",0,1,"A","A","G",1,0,0,"Toluca"
"2019/2020","18/08/2019","Club America","Monarcas",1,0,"H","H","G",1,0,0,"Monarcas"
"2019/2020","25/08/2019","U.A.N.L.- Tigres","Club America",1,1,"D","A","E",0,0,1,"U.A.N.L.- Tigres"
"2019/2020","28/08/2019","Club America","Pachuca",1,1,"D","H","E",0,0,1,"Pachuca"
"2019/2020","31/08/2019","Atlas","Club America",3,0,"H","A","P",0,1,0,"Atlas"
"2019/2020","15/09/2019","Club America","U.N.A.M.- Pumas",1,1,"D","H","E",0,0,1,"U.N.A.M.- Pumas"
"2019/2020","22/09/2019","Club America","Queretaro",2,2,"D","H","E",0,0,1,"Queretaro"
"2019/2020","26/09/2019","Juarez","Club America",1,1,"D","A","E",0,0,1,"Juarez"
"2019/2020","29/09/2019","Club America","Guadalajara Chivas",4,1,"H","H","G",1,0,0,"Guadalajara Chivas"
"2019/2020","06/10/2019","Cruz Azul","Club America",5,2,"H","A","P",0,1,0,"Cruz Azul"
"2019/2020","20/10/2019","Necaxa","Club America",2,2,"D","A","E",0,0,1,"Necaxa"
"2019/2020","27/10/2019","Club America","Puebla",2,0,"H","H","G",1,0,0,"Puebla"
"2019/2020","30/10/2019","Atl. San Luis","Club America",0,1,"A","A","G",1,0,0,"Atl. San Luis"
"2019/2020","03/11/2019","Club America","Santos Laguna",1,2,"A","H","P",0,1,0,"Santos Laguna"
"2019/2020","09/11/2019","Veracruz","Club America",0,5,"A","A","G",1,0,0,"Veracruz"
"2019/2020","29/11/2019","Club America","U.A.N.L.- Tigres",1,2,"A","H","P",0,1,0,"U.A.N.L.- Tigres"
"2019/2020","02/12/2019","U.A.N.L.- Tigres","Club America",2,4,"A","A","G",1,0,0,"U.A.N.L.- Tigres"
"2019/2020","06/12/2019","Monarcas","Club America",2,0,"H","A","P",0,1,0,"Monarcas"
"2019/2020","09/12/2019","Club America","Monarcas",2,0,"H","H","G",1,0,0,"Monarcas"
"2019/2020","27/12/2019","Monterrey","Club America",2,1,"H","A","P",0,1,0,"Monterrey"
"2019/2020","30/12/2019","Club America","Monterrey",2,1,"H","H","G",1,0,0,"Monterrey"
"2019/2020","19/01/2020","Club America","U.A.N.L.- Tigres",1,0,"H","H","G",1,0,0,"U.A.N.L.- Tigres"
"2019/2020","25/01/2020","Club Tijuana","Club America",0,0,"D","A","E",0,0,1,"Club Tijuana"
"2019/2020","02/02/2020","Club America","Juarez",1,3,"A","H","P",0,1,0,"Juarez"
"2019/2020","05/02/2020","Puebla","Club America",0,1,"A","A","G",1,0,0,"Puebla"
"2019/2020","10/02/2020","Queretaro","Club America",1,2,"A","A","G",1,0,0,"Queretaro"
"2019/2020","16/02/2020","Club America","Atlas",2,0,"H","H","G",1,0,0,"Atlas"
"2019/2020","23/02/2020","Monterrey","Club America",0,1,"A","A","G",1,0,0,"Monterrey"
"2019/2020","01/03/2020","Club America","Necaxa",0,3,"A","H","P",0,1,0,"Necaxa"
"2019/2020","07/03/2020","U.N.A.M.- Pumas","Club America",3,3,"D","A","E",0,0,1,"U.N.A.M.- Pumas"
"2019/2020","16/03/2020","Club America","Cruz Azul",0,1,"A","H","P",0,1,0,"Cruz Azul"
"2020/2021","28/07/2020","Pachuca","Club America",1,2,"A","A","G",1,0,0,"Pachuca"
"2020/2021","02/08/2020","Club America","Club Tijuana",4,0,"H","H","G",1,0,0,"Club Tijuana"
"2020/2021","08/08/2020","Necaxa","Club America",1,1,"D","A","E",0,0,1,"Necaxa"
"2020/2021","14/08/2020","Club America","Santos Laguna",3,1,"H","H","G",1,0,0,"Santos Laguna"
"2020/2021","17/08/2020","Queretaro","Club America",4,1,"H","A","P",0,1,0,"Queretaro"
"2020/2021","23/08/2020","Club America","Monterrey",1,3,"A","H","P",0,1,0,"Monterrey"
"2020/2021","30/08/2020","Atl. San Luis","Club America",1,2,"A","A","G",1,0,0,"Atl. San Luis"
"2020/2021","03/09/2020","Club America","Mazatlan FC",3,1,"H","H","G",1,0,0,"Mazatlan FC"
"2020/2021","09/09/2020","Puebla","Club America",2,3,"A","A","G",1,0,0,"Puebla"
"2020/2021","13/09/2020","Club America","Toluca",1,1,"D","H","E",0,0,1,"Toluca"
"2020/2021","20/09/2020","Club America","Guadalajara Chivas",1,0,"H","H","G",1,0,0,"Guadalajara Chivas"
"2020/2021","28/09/2020","Cruz Azul","Club America",0,0,"D","A","E",0,0,1,"Cruz Azul"
"2020/2021","04/10/2020","Club America","U.N.A.M.- Pumas",2,2,"D","H","E",0,0,1,"U.N.A.M.- Pumas"
"2020/2021","20/10/2020","Club Leon","Club America",3,2,"H","A","P",0,1,0,"Club Leon"
"2020/2021","25/10/2020","Club America","Atlas",1,0,"H","H","G",1,0,0,"Atlas"
"2020/2021","01/11/2020","Club America","U.A.N.L.- Tigres",3,1,"H","H","G",1,0,0,"U.A.N.L.- Tigres"
"2020/2021","07/11/2020","Juarez","Club America",1,1,"D","A","E",0,0,1,"Juarez"
"2020/2021","26/11/2020","Guadalajara Chivas","Club America",1,0,"H","A","P",0,1,0,"Guadalajara Chivas"
"2020/2021","29/11/2020","Club America","Guadalajara Chivas",1,2,"A","H","P",0,1,0,"Guadalajara Chivas"
"2020/2021","10/01/2021","Club America","Atl. San Luis",2,1,"H","H","G",1,0,0,"Atl. San Luis"
"2020/2021","17/01/2021","Monterrey","Club America",1,0,"H","A","P",0,1,0,"Monterrey"
"2020/2021","27/01/2021","Club America","Juarez",2,0,"H","H","G",1,0,0,"Juarez"
"2020/2021","01/02/2021","Santos Laguna","Club America",1,1,"D","A","E",0,0,1,"Santos Laguna"
"2020/2021","07/02/2021","Club America","Puebla",1,0,"H","H","G",1,0,0,"Puebla"
"2020/2021","14/02/2021","Club America","Queretaro",2,1,"H","H","G",1,0,0,"Queretaro"
"2020/2021","21/02/2021","Atlas","Club America",0,2,"A","A","G",1,0,0,"Atlas"
"2020/2021","28/02/2021","Club America","Pachuca",2,0,"H","H","G",1,0,0,"Pachuca"
"2020/2021","04/03/2021","Club Tijuana","Club America",0,2,"A","A","G",1,0,0,"Club Tijuana"
"2020/2021","07/03/2021","Club America","Club Leon",2,1,"H","H","G",1,0,0,"Club Leon"
"2020/2021","15/03/2021","Guadalajara Chivas","Club America",0,3,"A","A","G",1,0,0,"Guadalajara Chivas"
"2020/2021","20/03/2021","Mazatlan FC","Club America",0,1,"A","A","G",1,0,0,"Mazatlan FC"
"2020/2021","04/04/2021","Club America","Necaxa",2,1,"H","H","G",1,0,0,"Necaxa"
"2020/2021","11/04/2021","U.A.N.L.- Tigres","Club America",1,3,"A","A","G",1,0,0,"U.A.N.L.- Tigres"
"2020/2021","18/04/2021","Club America","Cruz Azul",1,1,"D","H","E",0,0,1,"Cruz Azul"
"2020/2021","25/04/2021","Toluca","Club America",3,1,"H","A","P",0,1,0,"Toluca"
"2020/2021","03/05/2021","U.N.A.M.- Pumas","Club America",0,1,"A","A","G",1,0,0,"U.N.A.M.- Pumas"
"2020/2021","14/05/2021","Pachuca","Club America",3,1,"H","A","P",0,1,0,"Pachuca"
"2020/2021","17/05/2021","Club America","Pachuca",4,2,"H","H","G",1,0,0,"Pachuca"
"2021/2022","23/07/2021","Queretaro","Club America",0,0,"D","A","E",0,0,1,"Queretaro"
"2021/2022","01/08/2021","Club America","Necaxa",2,1,"H","H","G",1,0,0,"Necaxa"
"2021/2022","08/08/2021","Club America","Puebla",2,0,"H","H","G",1,0,0,"Puebla"
"2021/2022","15/08/2021","Atlas","Club America",0,1,"A","A","G",1,0,0,"Atlas"
"2021/2022","19/08/2021","Juarez","Club America",1,2,"A","A","G",1,0,0,"Juarez"
"2021/2022","22/08/2021","Club America","Club Tijuana",2,0,"H","H","G",1,0,0,"Club Tijuana"
"2021/2022","29/08/2021","Club Leon","Club America",1,1,"D","A","E",0,0,1,"Club Leon"
"2021/2022","12/09/2021","Club America","Mazatlan FC",2,0,"H","H","G",1,0,0,"Mazatlan FC"
"2021/2022","19/09/2021","Toluca","Club America",3,1,"H","A","P",0,1,0,"Toluca"
"2021/2022","26/09/2021","Club America","Guadalajara Chivas",0,0,"D","H","E",0,0,1,"Guadalajara Chivas"
"2021/2022","29/09/2021","Pachuca","Club America",1,1,"D","A","E",0,0,1,"Pachuca"
"2021/2022","03/10/2021","Club America","U.N.A.M.- Pumas",2,0,"H","H","G",1,0,0,"U.N.A.M.- Pumas"
"2021/2022","17/10/2021","Atl. San Luis","Club America",0,1,"A","A","G",1,0,0,"Atl. San Luis"
"2021/2022","20/10/2021","Club America","Santos Laguna",2,1,"H","H","G",1,0,0,"Santos Laguna"
"2021/2022","24/10/2021","Club America","U.A.N.L.- Tigres",1,0,"H","H","G",1,0,0,"U.A.N.L.- Tigres"
"2021/2022","31/10/2021","Cruz Azul","Club America",2,1,"H","A","P",0,1,0,"Cruz Azul"
"2021/2022","07/11/2021","Club America","Monterrey",0,0,"D","H","E",0,0,1,"Monterrey"
"2021/2022","25/11/2021","U.N.A.M.- Pumas","Club America",0,0,"D","A","E",0,0,1,"U.N.A.M.- Pumas"
"2021/2022","28/11/2021","Club America","U.N.A.M.- Pumas",1,3,"A","H","P",0,1,0,"U.N.A.M.- Pumas"
"2021/2022","08/01/2022","Puebla","Club America",1,1,"D","A","E",0,0,1,"Puebla"
"2021/2022","23/01/2022","Club America","Atlas",0,2,"A","H","P",0,1,0,"Atlas"
"2021/2022","06/02/2022","Club America","Atl. San Luis",2,3,"A","H","P",0,1,0,"Atl. San Luis"
"2021/2022","13/02/2022","Santos Laguna","Club America",2,3,"A","A","G",1,0,0,"Santos Laguna"
"2021/2022","17/02/2022","Mazatlan FC","Club America",2,1,"H","A","P",0,1,0,"Mazatlan FC"
"2021/2022","20/02/2022","Club America","Pachuca",1,3,"A","H","P",0,1,0,"Pachuca"
"2021/2022","27/02/2022","U.N.A.M.- Pumas","Club America",0,0,"D","A","E",0,0,1,"U.N.A.M.- Pumas"
"2021/2022","02/03/2022","Club America","Queretaro",1,1,"D","H","E",0,0,1,"Queretaro"
"2021/2022","06/03/2022","Monterrey","Club America",2,1,"H","A","P",0,1,0,"Monterrey"
"2021/2022","13/03/2022","Guadalajara Chivas","Club America",0,0,"D","A","E",0,0,1,"Guadalajara Chivas"
"2021/2022","20/03/2022","Club America","Toluca",3,0,"H","H","G",1,0,0,"Toluca"
"2021/2022","03/04/2022","Necaxa","Club America",0,1,"A","A","G",1,0,0,"Necaxa"
"2021/2022","10/04/2022","Club America","Juarez",3,0,"H","H","G",1,0,0,"Juarez"
"2021/2022","16/04/2022","Club Tijuana","Club America",1,3,"A","A","G",1,0,0,"Club Tijuana"
"2021/2022","21/04/2022","Club America","Club Leon",2,0,"H","H","G",1,0,0,"Club Leon"
"2021/2022","24/04/2022","U.A.N.L.- Tigres","Club America",0,2,"A","A","G",1,0,0,"U.A.N.L.- Tigres"
"2021/2022","01/05/2022","Club America","Cruz Azul",0,0,"D","H","E",0,0,1,"Cruz Azul"
"2021/2022","12/05/2022","Puebla","Club America",1,1,"D","A","E",0,0,1,"Puebla"
"2021/2022","15/05/2022","Club America","Puebla",3,2,"H","H","G",1,0,0,"Puebla"
"2021/2022","20/05/2022","Club America","Pachuca",1,1,"D","H","E",0,0,1,"Pachuca"
"2021/2022","23/05/2022","Pachuca","Club America",3,0,"H","A","P",0,1,0,"Pachuca"
"2022/2023","03/07/2022","Club America","Atlas",0,0,"D","H","E",0,0,1,"Atlas"
"2022/2023","10/07/2022","Monterrey","Club America",3,2,"H","A","P",0,1,0,"Monterrey"
"2022/2023","14/07/2022","Club America","Toluca",1,0,"H","H","G",1,0,0,"Toluca"
"2022/2023","24/07/2022","Club Tijuana","Club America",2,0,"H","A","P",0,1,0,"Club Tijuana"
"2022/2023","01/08/2022","Club Leon","Club America",3,2,"H","A","P",0,1,0,"Club Leon"
"2022/2023","08/08/2022","Club America","Juarez",2,1,"H","H","G",1,0,0,"Juarez"
"2022/2023","14/08/2022","U.N.A.M.- Pumas","Club America",0,3,"A","A","G",1,0,0,"U.N.A.M.- Pumas"
"2022/2023","18/08/2022","Pachuca","Club America",0,3,"A","A","G",1,0,0,"Pachuca"
"2022/2023","21/08/2022","Club America","Cruz Azul",7,0,"H","H","G",1,0,0,"Cruz Azul"
"2022/2023","24/08/2022","Queretaro","Club America",0,1,"A","A","G",1,0,0,"Queretaro"
"2022/2023","27/08/2022","Mazatlan FC","Club America",1,3,"A","A","G",1,0,0,"Mazatlan FC"
"2022/2023","04/09/2022","Club America","U.A.N.L.- Tigres",2,1,"H","H","G",1,0,0,"U.A.N.L.- Tigres"
"2022/2023","07/09/2022","Club America","Atl. San Luis",3,0,"H","H","G",1,0,0,"Atl. San Luis"
"2022/2023","11/09/2022","Necaxa","Club America",1,2,"A","A","G",1,0,0,"Necaxa"
"2022/2023","15/09/2022","Club America","Santos Laguna",3,3,"D","H","E",0,0,1,"Santos Laguna"
"2022/2023","18/09/2022","Club America","Guadalajara Chivas",2,1,"H","H","G",1,0,0,"Guadalajara Chivas"
"2022/2023","01/10/2022","Puebla","Club America",1,2,"A","A","G",1,0,0,"Puebla"
"2022/2023","13/10/2022","Puebla","Club America",1,6,"A","A","G",1,0,0,"Puebla"
"2022/2023","16/10/2022","Club America","Puebla",5,1,"H","H","G",1,0,0,"Puebla"
"2022/2023","20/10/2022","Toluca","Club America",2,1,"H","A","P",0,1,0,"Toluca"
"2022/2023","23/10/2022","Club America","Toluca",1,1,"D","H","E",0,0,1,"Toluca"
"2022/2023","07/01/2023","Club America","Queretaro",0,0,"D","H","E",0,0,1,"Queretaro"
"2022/2023","15/01/2023","Toluca","Club America",2,2,"D","A","E",0,0,1,"Toluca"
"2022/2023","22/01/2023","Club America","Puebla",2,2,"D","H","E",0,0,1,"Puebla"
"2022/2023","29/01/2023","Club America","Mazatlan FC",6,0,"H","H","G",1,0,0,"Mazatlan FC"
"2022/2023","05/02/2023","Santos Laguna","Club America",2,2,"D","A","E",0,0,1,"Santos Laguna"
"2022/2023","11/02/2023","Club America","Necaxa",2,1,"H","H","G",1,0,0,"Necaxa"
"2022/2023","15/02/2023","Atl. San Luis","Club America",1,3,"A","A","G",1,0,0,"Atl. San Luis"
"2022/2023","20/02/2023","Club America","Club Tijuana",2,1,"H","H","G",1,0,0,"Club Tijuana"
"2022/2023","26/02/2023","Atlas","Club America",2,2,"D","A","E",0,0,1,"Atlas"
"2022/2023","05/03/2023","Club America","Pachuca",0,3,"A","H","P",0,1,0,"Pachuca"
"2022/2023","12/03/2023","U.A.N.L.- Tigres","Club America",0,2,"A","A","G",1,0,0,"U.A.N.L.- Tigres"
"2022/2023","19/03/2023","Guadalajara Chivas","Club America",2,4,"A","A","G",1,0,0,"Guadalajara Chivas"
"2022/2023","02/04/2023","Club America","Club Leon",2,2,"D","H","E",0,0,1,"Club Leon"
"2022/2023","09/04/2023","Club America","Monterrey",2,1,"H","H","G",1,0,0,"Monterrey"
